
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------

10/11/2021 12:44:38 SENDER-2 starts sending data to RECEIVER2
10/11/2021 12:44:38 SENDER-1 starts sending data to RECEIVER1
10/11/2021 12:45:00 SENDER-2    ||  PACKET 8 SENT TO CHANNEL

10/11/2021 12:45:01 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:45:01 SENDER-2    ||  PACKET 9 SENT TO CHANNEL

10/11/2021 12:45:02 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:45:02 SENDER-2    ||  PACKET 10 SENT TO CHANNEL

10/11/2021 12:45:03 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:45:03 SENDER-2    ||  PACKET 11 SENT TO CHANNEL

10/11/2021 12:45:04 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:45:04 SENDER-2    ||  PACKET 12 SENT TO CHANNEL

10/11/2021 12:45:05 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:45:05 SENDER-2    ||  PACKET 13 SENT TO CHANNEL

10/11/2021 12:45:06 RECEIVER-2  ||  PACKET RECEIVED



********************** 10/11/2021 12:45:06 SENDER-2 HAS SENT ALL ITS PACKETS **********************


-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : NON PERSISTENT METHOD ########
-----------------------------------------------------------------------------

10/11/2021 12:52:49 SENDER-2 starts sending data to RECEIVER2

10/11/2021 12:52:49 CHANNEL has been initialised

10/11/2021 12:52:49 SENDER-1 starts sending data to RECEIVER1
10/11/2021 12:52:49 SENDER-2    ||  PACKET 1 SENT TO CHANNEL
10/11/2021 12:52:49 SENDER-1    ||  PACKET 1 SENT TO CHANNEL

10/11/2021 12:52:50 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:52:50 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:52:50 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:52:51 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:52:54 SENDER-2    ||  PACKET 2 SENT TO CHANNEL
10/11/2021 12:52:54 SENDER-1    ||  PACKET 2 SENT TO CHANNEL

10/11/2021 12:52:55 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:52:55 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:52:55 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:52:56 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:52:59 SENDER-1    ||  PACKET 3 SENT TO CHANNEL
10/11/2021 12:52:59 SENDER-2    ||  PACKET 3 SENT TO CHANNEL

10/11/2021 12:53:00 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:00 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:53:00 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:53:01 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:04 SENDER-1    ||  PACKET 4 SENT TO CHANNEL
10/11/2021 12:53:04 SENDER-2    ||  COLLISION
10/11/2021 12:53:05 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:53:05 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:06 SENDER-1    ||  PACKET 5 SENT TO CHANNEL

10/11/2021 12:53:06 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:07 SENDER-1    ||  PACKET 6 SENT TO CHANNEL

10/11/2021 12:53:08 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:08 SENDER-1    ||  PACKET 7 SENT TO CHANNEL
10/11/2021 12:53:09 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:53:09 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:09 SENDER-1    ||  PACKET 8 SENT TO CHANNEL

10/11/2021 12:53:10 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:10 SENDER-1    ||  PACKET 9 SENT TO CHANNEL

10/11/2021 12:53:11 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:11 SENDER-1    ||  PACKET 10 SENT TO CHANNEL

10/11/2021 12:53:12 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:12 SENDER-1    ||  PACKET 11 SENT TO CHANNEL
10/11/2021 12:53:13 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:53:13 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:13 SENDER-1    ||  PACKET 12 SENT TO CHANNEL

10/11/2021 12:53:14 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:53:15 SENDER-1    ||  PACKET 13 SENT TO CHANNEL

10/11/2021 12:53:15 RECEIVER-1  ||  PACKET RECEIVED



********************** 10/11/2021 12:53:16 SENDER-1 HAS SENT ALL ITS PACKETS **********************

10/11/2021 12:53:17 SENDER-2    ||  PACKET 4 SENT TO CHANNEL

10/11/2021 12:53:17 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:18 SENDER-2    ||  PACKET 5 SENT TO CHANNEL

10/11/2021 12:53:19 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:19 SENDER-2    ||  PACKET 6 SENT TO CHANNEL

10/11/2021 12:53:20 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:20 SENDER-2    ||  PACKET 7 SENT TO CHANNEL

10/11/2021 12:53:21 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:21 SENDER-2    ||  PACKET 8 SENT TO CHANNEL

10/11/2021 12:53:22 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:22 SENDER-2    ||  PACKET 9 SENT TO CHANNEL

10/11/2021 12:53:23 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:23 SENDER-2    ||  PACKET 10 SENT TO CHANNEL

10/11/2021 12:53:24 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:24 SENDER-2    ||  PACKET 11 SENT TO CHANNEL

10/11/2021 12:53:25 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:26 SENDER-2    ||  PACKET 12 SENT TO CHANNEL

10/11/2021 12:53:26 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:53:27 SENDER-2    ||  PACKET 13 SENT TO CHANNEL

10/11/2021 12:53:28 RECEIVER-2  ||  PACKET RECEIVED



********************** 10/11/2021 12:53:28 SENDER-2 HAS SENT ALL ITS PACKETS **********************


-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : P PERSISTENT METHOD ########
-----------------------------------------------------------------------------

10/11/2021 12:54:38 SENDER-2 starts sending data to RECEIVER2
10/11/2021 12:54:38 SENDER-1 starts sending data to RECEIVER1
10/11/2021 12:54:38 SENDER-2    ||  PACKET 1 SENT TO CHANNEL
10/11/2021 12:54:38 SENDER-1    ||  PACKET 1 SENT TO CHANNEL

10/11/2021 12:54:39 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:54:39 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:39 SENDER-1    ||  FOUND CHANNEL BUSY
